year,main_mtons,main_rev
1950,343767,48469698
1951,299286,53931243
1952,308688,53672351
1953,256159,46654298
1954,281115,45013964
1955,251497,44346922
1956,273212,46960463
1957,267662,47457245
1958,282585,52533981
1959,247343,53430535
1960,265850,48254613
1961,231006,49539696
1962,280899,53925491
1963,272734,55559667
1964,228354,56422982
1965,226626,62416837
1966,214692,62001815
1967,187662,55874404
1968,188422,60237731
1969,170086,61975652
1970,160084,67795238
1971,159868,70584416
1972,159300,81584154
1973,139944,84742649
1974,144728,90369938
1975,145500,115295329
1976,164062,134962915
1977,193206,162936491
1978,209384,205281877
1979,235303,240783282
1980,274785,266330023
1981,247605,300609094
1982,223585,301746401
1983,216104,332548295
1984,196148,327011167
1985,169850,302923294
1986,158300,321086056
1987,157612,378890086
1988,157110,356097339
1989,152966,354993491
1990,175955,383089864
1991,168032,409701368
1992,154987,397308645
1993,134076,337358875
1994,121101,340163452
1995,137974,338486875
1996,171554,376033551
1997,181350,404856272
1998,172120,391836650
1999,168276,496294897
2000,166973,512481102
2001,195365,465776548
2002,167263,530805681
2003,193484,525836612
2004,190569,653915711
2005,206161,804686874
2006,216453,931359331
2007,164188,719872877
2008,175682,655448722
2009,200330,637050130
2010,174260,792101670
2011,198413,919214222
2012,207545,953547667
2013,203627,940890934
2014,204582,984216188
2015,187869,1022146452
2016,180899,1106225237
2017,161484,1035526822
