year,main_mtons,main_rev
1950,86572,5195725
1951,107111,5962343
1952,165581,6901938
1953,113579,6104310
1954,115467,6500558
1955,125585,6556648
1956,169570,8093030
1957,119056,7166697
1958,140090,8498189
1959,180094,8657933
1960,128325,7692496
1961,147335,8360834
1962,99875,7217944
1963,132188,9305954
1964,120813,9157946
1965,120517,9809295
1966,129244,9460940
1967,120954,8565778
1968,115117,9822091
1969,104948,1.06e+07
1970,93921,9381227
1971,90892,7.12e+07
1972,102176,6.29e+07
1973,83086,6.45e+07
1974,111912,6.93e+07
1975,128628,6.92e+07
1976,121518,7.64e+07
1977,125635,6.08e+07
1978,148791,5.15e+07
1979,182670,1.08e+08
1980,174235,1.04e+08
1981,210680,9.15e+07
1982,156618,1.23e+08
1983,145434,1.20e+08
1984,129788,8.94e+07
1985,101115,1.08e+08
1986,84672,1.12e+08
1987,78868,1.04e+08
1988,92506,1.22e+08
1989,85931,1.18e+08
1990,87484,1.16e+08
1991,107682,1.22e+08
1992,79367,1.06e+08
1993,84009,1.15e+08
1994,91902,1.28e+08
1995,85380,1.53e+08
1996,83488,1.32e+08
1997,100542,1.41e+08
1998,83890,1.33e+08
1999,76853,1.44e+08
2000,74532,1.50e+08
2001,66667,1.12e+08
2002,75073,1.16e+08
2003,68329,1.06e+08
2004,65891,1.05e+08
2005,42452,8.82e+07
2006,36312,8.33e+07
2007,34455,9.91e+07
2008,38290,1.10e+08
2009,34621,9.14e+07
2010,38787,1.15e+08
2011,39303,1.20e+08
2012,35429,1.24e+08
2013,27504,1.14e+08
2014,30016,1.31e+08
2015,34126,1.39e+08
2016,33508,1.31e+08
2017,33261,1.33e+08
